iter	RMSE
235	0.3117541661
236	0.311620424
237	0.3108501439
238	0.3099522848
239	0.3088869951
240	0.3083383454
241	0.3080510561
242	0.3074950761
243	0.3072438851
244	0.3069461225
245	0.306264544
246	0.3056186912
247	0.3048525209
248	0.3047708511
249	0.30423127
250	0.303466691
251	0.3025120553
252	0.3018724715
253	0.3009794219
254	0.3002211749
255	0.2998350157
256	0.2990752271
257	0.2986139059
258	0.2981643334
259	0.2975449031
260	0.2972538333
261	0.2965262073
262	0.2963647024
263	0.2959170058
264	0.2952929165
265	0.2949801674
266	0.294272061
267	0.2935846456
268	0.2930559295
269	0.2924334041
270	0.292186623
271	0.2913330131
272	0.2907347479
273	0.2901323525
274	0.2898320117
275	0.2891798074
276	0.2886279697
277	0.2878340558
278	0.2875763051
279	0.2873199942
280	0.2864114151
281	0.2857874639
282	0.2853992443
283	0.2848157983
284	0.2843047794
285	0.283689122
286	0.283271578
287	0.2825898939
288	0.2818842764
289	0.2817695418
290	0.2812297202
291	0.2806719203
292	0.2805572451
293	0.2803574775
294	0.2798263844
295	0.279673089
296	0.2791338068
297	0.2786452122
298	0.2782147632
299	0.278083391
300	0.2775998733
301	0.2773098345
302	0.2767483329
303	0.2762347479
304	0.2759433684
305	0.2757356224
306	0.2751454199
307	0.2747924088
308	0.2746588328
309	0.2740888349
310	0.2738635554
311	0.2736957314
312	0.2731692978
313	0.2723286515
314	0.2717647692
315	0.2715288202
316	0.2711933596
317	0.2707794332
318	0.270313717
319	0.2698949389
320	0.2694783069
321	0.2690086619
322	0.2683134613
323	0.2678278145
324	0.2672912961
325	0.2671055092
326	0.2667621954
327	0.2664727513
328	0.2659355616
329	0.2658253299
330	0.2653902769
331	0.2650320985
332	0.2643603398
333	0.2641669945
334	0.2639492754
335	0.2635005072
336	0.2629781485
337	0.2623483467
338	0.2618279029
339	0.2612164236
340	0.2608132181
341	0.2604511782
342	0.2599698544
343	0.2595936746
344	0.2592116043
345	0.2587837281
346	0.2582873072
347	0.2578239442
348	0.2574663712
349	0.2570501821
350	0.2565204179
351	0.2562555445
352	0.255839362
353	0.2553980547
354	0.2549898202
355	0.2546967585
356	0.2545532003
357	0.2541276068
358	0.2538355013
359	0.2535610473
360	0.2534465265
361	0.2529756499
362	0.2525603558
363	0.2521967493
364	0.2519006521
365	0.2514738202
366	0.2510493289
367	0.250706895
368	0.2504606028
369	0.2501777775
370	0.249775179
371	0.2495510229
372	0.2491060589
373	0.2485629827
374	0.2482287214
375	0.2478849833
376	0.247597169
377	0.2473699875
378	0.2468648607
379	0.2465650215
380	0.2461767069
381	0.2458031069
382	0.2452758037
383	0.2447371872
384	0.2444333389
385	0.2438429267
386	0.2436540132
387	0.2432579824
388	0.2428834419
389	0.2426207105
390	0.2423831546
391	0.2421048672
392	0.2417223463
393	0.241519561
394	0.2412004032
395	0.2406920661
396	0.2403127161
397	0.2398725034
398	0.2396423639
399	0.2393117935
400	0.2388535684
401	0.238626757
402	0.2384414618
403	0.2380465554
404	0.2376876859
405	0.23735097
406	0.2369395738
407	0.2366197426
408	0.2364312258
409	0.2360232693
410	0.2356253113
411	0.235374536
412	0.2349211453
413	0.2347186198
414	0.2345015726
415	0.2340298077
416	0.2337012597
417	0.2332487971
418	0.2327950259
419	0.2324322747
420	0.2321894957
421	0.2320996627
422	0.231776627
423	0.231524421
424	0.2312024505
425	0.2309758533
426	0.2307862992
427	0.2303314036
428	0.2301442812
429	0.22991089
430	0.229732527
431	0.2292665256
432	0.2289844939
433	0.2285664111
434	0.228437877
435	0.2282286006
436	0.2279238325
437	0.2275072309
438	0.2273328247
439	0.227262137
440	0.226768284
441	0.2265719295
442	0.2265007318
443	0.2261513712
444	0.2257671783
445	0.2254787953
446	0.2251811775
447	0.225011664
448	0.2248774564
449	0.2245916682
450	0.2242159208
451	0.2237782062
452	0.2232345432
453	0.2228843905
454	0.222681224
455	0.2225779688
456	0.2223429697
457	0.2221677108
458	0.2218225718
459	0.2215859577
460	0.2213611647
461	0.2210207033
462	0.2207525961
463	0.2206017402
464	0.2204135555
465	0.2202690501
466	0.2201963523
467	0.2199259602
468	0.2198426242
469	0.2194321455
470	0.2192360733
471	0.2190079345
472	0.218815927
473	0.2186244057
474	0.218404247
475	0.2180730619
476	0.2180031902
477	0.2178971368
478	0.2178543272
479	0.2175303222
480	0.2174410272
481	0.2172997808
482	0.2171154891
483	0.2169010145
484	0.2166220162
485	0.2164002043
486	0.2160446349
487	0.2158994022
